"houseID","totalPrice","date"
"103101694140","400","2019-02-02 21:57:37"
"103101694140","410","2019-01-01 17:16:20"
"103101696868","280","2019-02-02 21:50:47"
"103101697099","275","2019-01-01 17:09:10"
"103101698602","465","2019-02-02 21:59:20"
"103101699864","420","2019-01-01 17:12:32"
"103101700448","270","2019-02-02 21:57:13"
"103101700448","275","2019-01-01 17:15:50"
"103101700607","173","2019-02-02 22:03:17"
"103101701165","550","2019-02-02 21:50:47"
"103101701625","520","2019-02-02 21:53:51"
"103101702132","920","2019-02-02 21:50:59"
"103101702233","651","2019-02-02 21:59:48"
"103101702773","390","2019-01-01 17:16:30"
"103101703594","600","2019-02-02 22:01:56"
"103101704117","560","2019-02-02 21:51:46"
"103101704177","430","2019-02-02 21:51:46"
"103101705160","445","2019-02-02 22:01:56"
"103101705557","390","2019-02-02 22:01:21"
"103101709235","780","2019-02-02 22:00:03"
"103101709925","200","2019-02-02 21:57:48"
"103101713094","240","2019-02-02 21:54:51"
"103101713359","760","2019-02-02 21:51:48"
"103101713827","1000","2019-02-02 21:48:41"
"103101714085","308","2019-02-02 21:59:40"
"103101715333","448","2019-02-02 21:51:25"
"103101716674","290","2019-01-01 17:15:58"
"103101718098","255","2019-02-02 21:54:55"
"103101720796","465","2019-02-02 21:51:25"
"103101721588","600","2019-02-02 21:59:02"
"103101721977","430","2019-02-02 21:51:03"
"103101722111","380","2019-02-02 22:01:58"
"103101723010","317","2019-02-02 21:59:57"
"103101723499","1321","2019-01-01 17:10:43"
"103101725735","340","2019-02-02 21:53:29"
"103101725891","215","2019-02-02 22:03:31"
"103101726056","183","2019-02-02 21:59:57"
"103101727054","400","2019-02-02 21:53:53"
"103101728253","700","2019-02-02 21:54:05"
"103101729827","319","2019-02-02 21:51:15"
"103101731541","310","2019-02-02 21:50:30"
"103101731541","320","2019-01-01 17:09:04"
"103101733218","545","2019-02-02 21:59:08"
"103101733547","280","2019-02-02 21:53:37"
"103101733613","285","2019-02-02 21:48:03"
"103101733734","268","2019-02-02 21:54:49"
"103101735473","360","2019-01-01 17:09:18"
"103101737419","110","2019-02-02 21:54:09"
"103101738511","335","2019-02-02 21:53:13"
"103101739956","390","2019-02-02 21:48:09"
"103101742786","480","2019-02-02 21:50:38"
"103101743239","200","2019-02-02 21:48:05"
"103101743629","387","2019-02-02 21:51:03"
"103101744220","206","2019-02-02 21:52:00"
"103101744529","345","2019-02-02 22:03:07"
"103101744529","350","2019-01-01 17:22:03"
"103101745079","426","2019-01-01 17:12:10"
"103101746111","250","2019-02-02 22:00:50"
"103101746338","230","2019-01-01 17:16:30"
"103101747873","950","2019-02-02 22:01:25"
"103101749234","800","2019-02-02 21:50:45"
"103101749480","720","2019-02-02 22:01:51"
"103101750005","1250","2019-01-01 17:10:30"
"103101751612","140","2019-02-02 22:01:11"
"103101752094","470","2019-02-02 21:48:13"
"103101755013","110","2019-02-02 21:59:34"
"103101755729","698","2019-02-02 21:52:55"
"103101756174","500","2019-02-02 22:00:22"
"103101756178","500","2019-02-02 22:00:22"
"103101757337","160","2019-02-02 22:03:29"
"103101757758","400","2019-02-02 21:53:51"
